id;nom_inspec;type_inspec;email;telephone
1;24/7 de;IEF;Romuald83@gmail.com;0361926731
2;cyan;IA;Alix_Henry41@hotmail.fr;+33 720670992
3;state XML Tonga;IEF;Albrade.Renault@yahoo.fr;0617359983
4;haptic context-sensitive Delesseux;IA;Elsa_Duval99@gmail.com;+33 555327874
5;synthesizing invoice;IEF;Lonie.Pierre@yahoo.fr;+33 107962745
6;Jewelery;IA;Adenet.Mercier69@gmail.com;+33 749749001
7;back Loan;IA;Sidoine.Rodriguez@yahoo.fr;0168001516
8;Switchable des;IEF;Marlne.Dupont93@gmail.com;+33 199960613
9;BEAC foreground Handmade;IEF;Jonathan0@hotmail.fr;+33 435772901
10;a Bedfordshire b;IEF;leuthre_Garcia@hotmail.fr;+33 179917250
